0,1
0.16549367908256393,sex_female
0.15553245755551132,age_12_to_14
0.15004505521605963,sex_male
0.14015315665285974,type_crime_personal_theft
0.08472435775373906,type_crime_robbery
0.0633834127350155,type_crime_simple_assault
0.04587175765552143,age_15_to_17
0.0376473202349296,age_25_to_34
0.029771425617516837,type_crime_aggravated_assault
0.026438883225415603,age_21_to_24
0.026084526767762458,type_crime_rape/sexual_assault
0.023716687072752003,age_50_to_64
0.022195833812951173,age_35_to_49
0.016151388908826083,age_65_or_older
0.01279005770857557,age_18_to_20
