0,1
0.3465707814099257,vo_relationship_intimates
0.15823578871467972,vo_relationship_stranger
0.1561134225651303,type_crime_rape/sexual_assault
0.04323367537050857,vo_relationship_other_relatives
0.042949420555761425,vo_relationship_well-known/casual_acquaintances
0.028261396303177016,type_crime_personal_theft
0.027742528899762503,type_crime_aggravated_assault
0.026521006679066525,type_crime_simple_assault
0.02627509768354168,age_12_to_14
0.021494176368204946,type_crime_robbery
0.019383945873845076,vo_relationship_do_not_know_relationship
0.017633500217125106,age_15_to_17
0.013989405581222027,age_18_to_20
0.01385577050950071,age_50_to_64
0.013466030214246234,age_35_to_49
0.012405631280126552,vo_relationship_do_not_know_number_of_offenders
0.01201116888429631,age_65_or_older
0.01152727772413185,age_25_to_34
0.008329975165747882,age_21_to_24
